MASS (MeV)   | SCALE      | k    | TOPOLOGY        | LIFETIME (s) | STATUS
62138.12     | LEPTON     | 599  | Spinor (-0.5)   | 1.1e-19      | PREDICTION (Resonance)
62157.44     | LEPTON     | 597  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62182.42     | MESON      | 888  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62191.52     | LEPTON     | 593  | Vector (+1.0)   | 6.0e-20      | PREDICTION (Resonance)
62237.54     | BARYON     | 398  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62249.08     | BARYON     | 401  | Vector (-1.0)   | 4.2e-19      | PREDICTION (Resonance)
62252.45     | MESON      | 889  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62261.56     | LEPTON     | 598  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62276.24     | LEPTON     | 607  | Sphere (-2.0)   | 2.7e-20      | PREDICTION (Resonance)
62307.68     | BARYON     | 397  | Spinor (+0.5)   | 8.9e-19      | PREDICTION (Resonance)
62322.47     | MESON      | 890  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62345.59     | LEPTON     | 601  | Spinor (-0.5)   | 1.1e-19      | PREDICTION (Resonance)
62365.67     | LEPTON     | 599  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62392.50     | MESON      | 891  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62393.92     | BARYON     | 399  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62462.52     | MESON      | 892  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62469.79     | LEPTON     | 600  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62477.87     | BARYON     | 401  | Spinor (-0.5)   | 8.4e-19      | PREDICTION (Resonance)
62532.55     | MESON      | 893  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62534.20     | BARYON     | 397  | Vector (+1.0)   | 4.5e-19      | PREDICTION (Resonance)
62550.30     | BARYON     | 400  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62573.91     | LEPTON     | 601  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62593.22     | LEPTON     | 599  | Spinor (+0.5)   | 1.1e-19      | PREDICTION (Resonance)
62602.57     | MESON      | 894  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62642.07     | LEPTON     | 593  | Sphere (+2.0)   | 3.0e-20      | PREDICTION (Resonance)
62672.60     | MESON      | 895  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62678.02     | LEPTON     | 602  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62706.67     | BARYON     | 401  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62737.42     | LEPTON     | 607  | Vector (-1.0)   | 5.3e-20      | PREDICTION (Resonance)
62742.63     | MESON      | 896  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62782.14     | LEPTON     | 603  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62802.22     | LEPTON     | 601  | Spinor (+0.5)   | 1.1e-19      | PREDICTION (Resonance)
62812.65     | MESON      | 897  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62820.78     | LEPTON     | 599  | Vector (+1.0)   | 5.7e-20      | PREDICTION (Resonance)
62863.05     | BARYON     | 402  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62882.68     | MESON      | 898  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62886.25     | LEPTON     | 604  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62891.82     | LEPTON     | 613  | Sphere (-2.0)   | 2.5e-20      | PREDICTION (Resonance)
62935.47     | BARYON     | 401  | Spinor (+0.5)   | 8.5e-19      | PREDICTION (Resonance)
62952.70     | MESON      | 899  | Perfect (0)     | STABLE       | PREDICTION (Stable)
62968.01     | LEPTON     | 607  | Spinor (-0.5)   | 1.1e-19      | PREDICTION (Resonance)
62987.22     | BARYON     | 397  | Sphere (+2.0)   | 2.3e-19      | PREDICTION (Resonance)
62990.37     | LEPTON     | 605  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63019.42     | BARYON     | 403  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63022.73     | MESON      | 900  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63024.23     | BARYON     | 409  | Sphere (-2.0)   | 1.9e-19      | PREDICTION (Resonance)
63030.53     | LEPTON     | 601  | Vector (+1.0)   | 5.6e-20      | PREDICTION (Resonance)
63092.75     | MESON      | 901  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63094.49     | LEPTON     | 606  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63162.78     | MESON      | 902  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63164.26     | BARYON     | 401  | Vector (+1.0)   | 4.3e-19      | PREDICTION (Resonance)
63175.80     | BARYON     | 404  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63198.60     | LEPTON     | 607  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63232.80     | MESON      | 903  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63275.88     | LEPTON     | 599  | Sphere (+2.0)   | 2.9e-20      | PREDICTION (Resonance)
63302.21     | LEPTON     | 617  | Sphere (-2.0)   | 2.5e-20      | PREDICTION (Resonance)
63302.72     | LEPTON     | 608  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63302.83     | MESON      | 904  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63332.17     | BARYON     | 405  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63357.56     | LEPTON     | 613  | Vector (-1.0)   | 5.1e-20      | PREDICTION (Resonance)
63372.85     | MESON      | 905  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63406.84     | LEPTON     | 609  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63429.19     | LEPTON     | 607  | Spinor (+0.5)   | 1.1e-19      | PREDICTION (Resonance)
63442.88     | MESON      | 906  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63487.15     | LEPTON     | 601  | Sphere (+2.0)   | 2.8e-20      | PREDICTION (Resonance)
63488.55     | BARYON     | 406  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63490.95     | BARYON     | 409  | Vector (-1.0)   | 3.8e-19      | PREDICTION (Resonance)
63507.40     | LEPTON     | 619  | Sphere (-2.0)   | 2.4e-20      | PREDICTION (Resonance)
63510.95     | LEPTON     | 610  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63512.90     | MESON      | 907  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63582.93     | MESON      | 908  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63590.43     | LEPTON     | 613  | Spinor (-0.5)   | 1.0e-19      | PREDICTION (Resonance)
63615.07     | LEPTON     | 611  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63621.86     | BARYON     | 401  | Sphere (+2.0)   | 2.1e-19      | PREDICTION (Resonance)
63644.93     | BARYON     | 407  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63652.95     | MESON      | 909  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63659.79     | LEPTON     | 607  | Vector (+1.0)   | 5.3e-20      | PREDICTION (Resonance)
63719.18     | LEPTON     | 612  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63722.98     | MESON      | 910  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63724.32     | BARYON     | 409  | Spinor (-0.5)   | 7.6e-19      | PREDICTION (Resonance)
63770.99     | LEPTON     | 617  | Vector (-1.0)   | 4.9e-20      | PREDICTION (Resonance)
63793.00     | MESON      | 911  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63801.30     | BARYON     | 408  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63823.30     | LEPTON     | 613  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63863.03     | MESON      | 912  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63927.42     | LEPTON     | 614  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63933.05     | MESON      | 913  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63957.68     | BARYON     | 409  | Perfect (0)     | STABLE       | PREDICTION (Stable)
63977.70     | LEPTON     | 619  | Vector (-1.0)   | 4.8e-20      | PREDICTION (Resonance)
64003.08     | MESON      | 914  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64005.38     | LEPTON     | 617  | Spinor (-0.5)   | 9.8e-20      | PREDICTION (Resonance)
64031.53     | LEPTON     | 615  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64056.17     | LEPTON     | 613  | Spinor (+0.5)   | 1.0e-19      | PREDICTION (Resonance)
64073.11     | MESON      | 915  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64114.05     | BARYON     | 410  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64120.97     | LEPTON     | 607  | Sphere (+2.0)   | 2.7e-20      | PREDICTION (Resonance)
64135.65     | LEPTON     | 616  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64143.13     | MESON      | 916  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64191.04     | BARYON     | 409  | Spinor (+0.5)   | 7.7e-19      | PREDICTION (Resonance)
64212.85     | LEPTON     | 619  | Spinor (-0.5)   | 9.6e-20      | PREDICTION (Resonance)
64213.16     | MESON      | 917  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64239.77     | LEPTON     | 617  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64270.43     | BARYON     | 411  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64283.18     | MESON      | 918  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64289.04     | LEPTON     | 613  | Vector (+1.0)   | 5.1e-20      | PREDICTION (Resonance)
64343.88     | LEPTON     | 618  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64353.21     | MESON      | 919  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64423.23     | MESON      | 920  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64424.40     | BARYON     | 409  | Vector (+1.0)   | 3.9e-19      | PREDICTION (Resonance)
64426.80     | BARYON     | 412  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64448.00     | LEPTON     | 619  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64474.16     | LEPTON     | 617  | Spinor (+0.5)   | 9.8e-20      | PREDICTION (Resonance)
64493.26     | MESON      | 921  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64552.12     | LEPTON     | 620  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64563.28     | MESON      | 922  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64565.17     | BARYON     | 419  | Sphere (-2.0)   | 1.7e-19      | PREDICTION (Resonance)
64583.18     | BARYON     | 413  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64633.31     | MESON      | 923  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64656.23     | LEPTON     | 621  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64683.15     | LEPTON     | 619  | Spinor (+0.5)   | 9.6e-20      | PREDICTION (Resonance)
64703.33     | MESON      | 924  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64708.55     | LEPTON     | 617  | Vector (+1.0)   | 4.9e-20      | PREDICTION (Resonance)
64738.56     | LEPTON     | 631  | Sphere (-2.0)   | 2.2e-20      | PREDICTION (Resonance)
64739.56     | BARYON     | 414  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64754.78     | LEPTON     | 613  | Sphere (+2.0)   | 2.6e-20      | PREDICTION (Resonance)
64760.35     | LEPTON     | 622  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64773.36     | MESON      | 925  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64843.38     | MESON      | 926  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64864.46     | LEPTON     | 623  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64873.36     | BARYON     | 421  | Sphere (-2.0)   | 1.7e-19      | PREDICTION (Resonance)
64891.12     | BARYON     | 409  | Sphere (+2.0)   | 1.9e-19      | PREDICTION (Resonance)
64895.93     | BARYON     | 415  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64913.41     | MESON      | 927  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64918.30     | LEPTON     | 619  | Vector (+1.0)   | 4.9e-20      | PREDICTION (Resonance)
64968.58     | LEPTON     | 624  | Perfect (0)     | STABLE       | PREDICTION (Stable)
64983.43     | MESON      | 928  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65043.30     | BARYON     | 419  | Vector (-1.0)   | 3.4e-19      | PREDICTION (Resonance)
65052.31     | BARYON     | 416  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65053.46     | MESON      | 929  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65072.70     | LEPTON     | 625  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65123.48     | MESON      | 930  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65176.81     | LEPTON     | 626  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65177.33     | LEPTON     | 617  | Sphere (+2.0)   | 2.5e-20      | PREDICTION (Resonance)
65193.51     | MESON      | 931  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65208.68     | BARYON     | 417  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65217.98     | LEPTON     | 631  | Vector (-1.0)   | 4.4e-20      | PREDICTION (Resonance)
65263.53     | MESON      | 932  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65280.93     | LEPTON     | 627  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65282.37     | BARYON     | 419  | Spinor (-0.5)   | 6.8e-19      | PREDICTION (Resonance)
65333.56     | MESON      | 933  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65353.77     | BARYON     | 421  | Vector (-1.0)   | 3.3e-19      | PREDICTION (Resonance)
65365.06     | BARYON     | 418  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65385.05     | LEPTON     | 628  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65388.60     | LEPTON     | 619  | Sphere (+2.0)   | 2.5e-20      | PREDICTION (Resonance)
65403.59     | MESON      | 934  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65457.69     | LEPTON     | 631  | Spinor (-0.5)   | 8.7e-20      | PREDICTION (Resonance)
65473.61     | MESON      | 935  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65489.16     | LEPTON     | 629  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65521.43     | BARYON     | 419  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65543.64     | MESON      | 936  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65593.28     | LEPTON     | 630  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65593.98     | BARYON     | 421  | Spinor (-0.5)   | 6.6e-19      | PREDICTION (Resonance)
65613.66     | MESON      | 937  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65677.81     | BARYON     | 420  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65683.69     | MESON      | 938  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65697.39     | LEPTON     | 631  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65753.71     | MESON      | 939  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65760.50     | BARYON     | 419  | Spinor (+0.5)   | 6.8e-19      | PREDICTION (Resonance)
65764.53     | LEPTON     | 641  | Sphere (-2.0)   | 2.0e-20      | PREDICTION (Resonance)
65801.51     | LEPTON     | 632  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65823.74     | MESON      | 940  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65834.19     | BARYON     | 421  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65893.76     | MESON      | 941  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65905.63     | LEPTON     | 633  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65937.10     | LEPTON     | 631  | Spinor (+0.5)   | 8.8e-20      | PREDICTION (Resonance)
65963.79     | MESON      | 942  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65969.72     | LEPTON     | 643  | Sphere (-2.0)   | 2.0e-20      | PREDICTION (Resonance)
65990.56     | BARYON     | 422  | Perfect (0)     | STABLE       | PREDICTION (Stable)
65999.57     | BARYON     | 419  | Vector (+1.0)   | 3.4e-19      | PREDICTION (Resonance)
66009.74     | LEPTON     | 634  | Perfect (0)     | STABLE       | PREDICTION (Stable)
66033.81     | MESON      | 943  | Perfect (0)     | STABLE       | PREDICTION (Stable)
66074.39     | BARYON     | 421  | Spinor (+0.5)   | 6.6e-19      | PREDICTION (Resonance)
66103.84     | MESON      | 944  | Perfect (0)     | STABLE       | PREDICTION (Stable)
66113.86     | LEPTON     | 635  | Perfect (0)     | STABLE       | PREDICTION (Stable)
66146.94     | BARYON     | 423  | Perfect (0)     | STABLE       | PREDICTION (Stable)
66173.86     | MESON      | 945  | Perfect (0)     | STABLE       | PREDICTION (Stable)
66176.81     | LEPTON     | 631  | Vector (+1.0)   | 4.4e-20      | PREDICTION (Resonance)
66217.98     | LEPTON     | 636  | Perfect (0)     | STABLE       | PREDICTION (Stable)
66243.89     | MESON      | 946  | Perfect (0)     | STABLE       | PREDICTION (Stable)
66251.54     | LEPTON     | 641  | Vector (-1.0)   | 4.0e-20      | PREDICTION (Resonance)
66303.31     | BARYON     | 424  | Perfect (0)     | STABLE       | PREDICTION (Stable)
66313.91     | MESON      | 947  | Perfect (0)     | STABLE       | PREDICTION (Stable)
66314.60     | BARYON     | 421  | Vector (+1.0)   | 3.3e-19      | PREDICTION (Resonance)
66322.09     | LEPTON     | 637  | Perfect (0)     | STABLE       | PREDICTION (Stable)
66380.11     | LEPTON     | 647  | Sphere (-2.0)   | 1.9e-20      | PREDICTION (Resonance)
66383.94     | MESON      | 948  | Perfect (0)     | STABLE       | PREDICTION (Stable)
66414.29     | BARYON     | 431  | Sphere (-2.0)   | 1.5e-19      | PREDICTION (Resonance)
66426.21     | LEPTON     | 638  | Perfect (0)     | STABLE       | PREDICTION (Stable)
66453.96     | MESON      | 949  | Perfect (0)     | STABLE       | PREDICTION (Stable)
66458.26     | LEPTON     | 643  | Vector (-1.0)   | 4.0e-20      | PREDICTION (Resonance)
66459.69     | BARYON     | 425  | Perfect (0)     | STABLE       | PREDICTION (Stable)
66477.70     | BARYON     | 419  | Sphere (+2.0)   | 1.7e-19      | PREDICTION (Resonance)
66495.05     | LEPTON     | 641  | Spinor (-0.5)   | 8.1e-20      | PREDICTION (Resonance)
66523.99     | MESON      | 950  | Perfect (0)     | STABLE       | PREDICTION (Stable)
